Year,Districts,NumSplitResult,PctSplitResult
1900,295,10,3.4
1904,310,5,1.6
1908,314,21,6.7
1912,333,84,25.2
1916,333,35,10.5
1920,344,11,3.2
1924,356,42,11.8
1928,359,68,18.9
1932,355,50,14.1
1936,361,51,14.1
1940,362,53,14.6
1944,367,41,11.2
1948,422,90,21.3
1952,435,84,19.3
1956,435,130,29.9
1960,437,114,26.1
1964,435,145,33.3
1968,435,139,32
1972,435,192,44.1
1976,435,124,28.5
1980,435,143,32.8
1984,435,190,43.7
1988,435,148,34
1992,435,110,24.1
1996,435,109,25.1
2000,435,86,19.8
2004,435,58,13.6
2008,435,83,19.1
2012,435,26,6
2016,435,35,8
